building_index,grid_id,grid_col,grid_row,x_m,y_m,A_z,zone_type
1216,17_37,17,37,764973.4400916751,2453009.3670729524,62500.0,normal_urban
1217,12_38,12,38,763868.144762562,2453288.9232976567,62500.0,dense_urban
1218,16_38,16,38,764806.9917397458,2453117.084401597,62500.0,normal_urban
1219,12_38,12,38,763796.9227769695,2453238.2530716835,62500.0,dense_urban
1220,15_33,15,33,764629.250501329,2451848.958673883,62500.0,normal_urban
1221,15_33,15,33,764584.0217429153,2451820.254273295,62500.0,normal_urban
1222,12_38,12,38,763719.8002530866,2453228.303632237,62500.0,dense_urban
1223,12_38,12,38,763698.0242720374,2453145.073647713,62500.0,dense_urban
1224,15_33,15,33,764611.0613296042,2451812.4143885886,62500.0,normal_urban
1225,18_39,18,39,765416.6627349401,2453534.241267317,62500.0,open_area
1226,12_38,12,38,763921.3228983132,2453127.6850236207,62500.0,dense_urban
1227,12_38,12,38,763771.7059554912,2453245.0863031805,62500.0,dense_urban
1228,12_38,12,38,763786.2561379113,2453137.6721735033,62500.0,dense_urban
1229,12_38,12,38,763754.3068515506,2453141.9272599807,62500.0,dense_urban
1230,11_38,11,38,763652.5001487182,2453233.8909710958,62500.0,dense_urban
1231,12_38,12,38,763788.3398532987,2453175.691141214,62500.0,dense_urban
1232,11_38,11,38,763672.9004102598,2453204.3539512493,62500.0,dense_urban
1233,17_37,17,37,764945.5215845575,2453016.9358702567,62500.0,normal_urban
1234,12_38,12,38,763857.2548261145,2453245.1756603858,62500.0,dense_urban
1235,6_61,6,61,762289.4162482426,2458908.2883608583,55876.47742786851,normal_urban
1236,6_61,6,61,762305.247214004,2458914.7477357243,55876.47742786851,normal_urban
1237,17_37,17,37,765154.9413032954,2452823.930060528,62500.0,normal_urban
1238,18_37,18,37,765385.8825425832,2452855.5790515714,62500.0,dense_urban
1239,8_52,8,52,762899.0569417571,2456692.2872349117,62500.0,dense_urban
1240,8_52,8,52,762916.4531551162,2456691.518223326,62500.0,dense_urban
1241,10_22,10,22,763328.7843095883,2449139.0895428997,62500.0,open_area
1242,10_22,10,22,763332.1024710053,2449215.2879481027,62500.0,open_area
1243,11_22,11,22,763447.1775742308,2449124.537133209,62500.0,normal_urban
1244,10_21,10,21,763301.7790664942,2448994.2214130205,62500.0,normal_urban
1245,10_21,10,21,763302.8649081048,2448815.952395336,62500.0,normal_urban
1246,11_22,11,22,763451.7869902527,2449231.2204188276,62500.0,normal_urban
1247,10_21,10,21,763339.8374195974,2448865.392524411,62500.0,normal_urban
1248,10_21,10,21,763235.5728748682,2448882.6051752637,62500.0,normal_urban
1249,10_21,10,21,763272.4477401952,2448867.859268133,62500.0,normal_urban
1250,10_21,10,21,763237.9716813007,2448857.451528454,62500.0,normal_urban
1251,12_22,12,22,763885.5832645029,2449271.118988344,62500.0,dense_urban
1252,12_21,12,21,763723.3308594524,2449047.560081639,62500.0,normal_urban
1253,12_22,12,22,763867.6146848121,2449163.96706202,62500.0,dense_urban
1254,11_21,11,21,763627.7238761093,2449036.461845267,62500.0,normal_urban
1255,12_22,12,22,763880.9555761915,2449219.7783274185,62500.0,dense_urban
1256,12_22,12,22,763817.4548478259,2449091.52906324,62500.0,dense_urban
1257,11_21,11,21,763617.0436163744,2448996.797610253,62500.0,normal_urban
1258,12_22,12,22,763768.2831946956,2449058.6809917274,62500.0,dense_urban
1259,11_22,11,22,763639.7592929706,2449142.1488284003,62500.0,normal_urban
1260,11_22,11,22,763659.6898214638,2449183.7690101904,62500.0,normal_urban
1261,11_22,11,22,763629.1986116901,2449096.358274455,62500.0,normal_urban
1262,12_22,12,22,763846.713946692,2449124.696623059,62500.0,dense_urban
1263,12_22,12,22,763784.705025237,2449187.78058299,62500.0,dense_urban
1264,1_46,1,46,761010.2871661065,2455148.011390149,62500.0,dense_urban
1265,2_47,2,47,761215.9056292314,2455350.149743391,62500.0,dense_urban
1266,18_23,18,23,765204.9085774914,2449373.185019226,62500.0,open_area
1267,18_23,18,23,765230.7846351782,2449394.747259029,62500.0,open_area
1268,25_25,25,25,767111.5253503777,2449878.993508066,62500.0,normal_urban
1269,21_26,21,26,766040.4295517219,2450188.426882525,62500.0,dense_urban
1270,21_27,21,27,766105.6894829705,2450472.342493008,62500.0,dense_urban
1271,26_24,26,24,767278.2675434899,2449702.807995108,62500.0,dense_urban
1272,22_28,22,28,766410.3408132438,2450793.367983704,62500.0,dense_urban
